title,artist,lyrics,genre,year,source,url,scraped_at
Toadies,Unknown,"Şarkı Sözleri
Sanatçılar
Toadies
Toadies
Tweet
Auf Wiedersehen
Cowboy Song
Dead Boy Boogie
Dollskin
Goolie-Get-Together
Happy Voodoo
Heel
Hell Below / Stars Above
Little Sin
Mine
Push The Hand
Santacide",pop,Unknown,sarkisozleri.bbs.tr,https://www.sarkisozleri.bbs.tr/sanatci/6598/toadies,2025-10-25T20:34:44.801764
Ruhi Su /Yunus Emre,Unknown,"Şarkı Sözleri
Sanatçılar
Ruhi Su /Yunus Emre
Ruhi Su /Yunus Emre
Tweet
Aşık Sana Bir Sözüm Var
Aşkın Aldı Benden Beni
Be Hey Kardeş Hakkı Bulam Mı Dersin
Dervişlik Baştadır Tacda Değildir
Dolap Niçin İnilersin
Evvel Benem Ahır Benem
Gel Bir Şaha Kul Ola Gör
Hak’tan İnen Şerbeti
Her Kime Kim Dervişlik Bağışlana
Ya İlahi Ger Sual Etsen Bana
Yalancı Dünyaya Konup Göçenler",pop,Unknown,sarkisozleri.bbs.tr,https://www.sarkisozleri.bbs.tr/sanatci/713/ruhi-su-yunus-emre,2025-10-25T20:34:45.614183
Oy GelinAynur Doğan,Unknown,"Şarkı Sözleri
Sanatçılar
Aynur Doğan
Oy Gelin
Oy Gelin
Aynur Doğan
Şarkı Sözleri
İzle ve Dinle
akşam olur karanlığa kalırsın
derin derin sevdalara dalarsın
oy gelin gelin sevdalı gelin
öldürdün beni
ellerin elime deydiği zaman
ister ölüm olsun ister ayrılık
oy gelin gelin sevdalı gelin
öldürdün beni
Burada yer alan videolar YouTube üzerinden anlık olarak alınmaktadır. YouTube üzerinden kaldırıldığında buradan da otomatik olarak kaldırılacaktır. Özel olarak kaldırılmasını istediğiniz içerik varsa bize
[email protected]
adresinden ulaşabilirsiniz.
Videoları Göster
Diğer Şarkıları
Aşkın Şarabı
Dar Hejiroke
Helin
Keçe Kurdan
Nesrin
Pervane
Yaranmaz Aşk
Yare
Yummayın Kirpiklerini",pop,Unknown,sarkisozleri.bbs.tr,https://www.sarkisozleri.bbs.tr/sarki/26742/oy-gelin,2025-10-25T20:34:56.832736
Aynur Doğan,Unknown,"Şarkı Sözleri
Sanatçılar
Aynur Doğan
Aynur Doğan
Tweet
Aşkın Şarabı
Dar Hejiroke
Helin
Keçe Kurdan
Nesrin
Oy Gelin
Pervane
Yaranmaz Aşk
Yare
Yummayın Kirpiklerini",pop,Unknown,sarkisozleri.bbs.tr,https://www.sarkisozleri.bbs.tr/sanatci/1236/aynur-dogan,2025-10-25T20:34:57.187380
Yellow Dog SongShawn Mullins,Unknown,"Şarkı Sözleri
Sanatçılar
Shawn Mullins
Yellow Dog Song
Yellow Dog Song
Shawn Mullins
Şarkı Sözleri
İzle ve Dinle
There is a young man
Driving an old man's car
Down the Pennsylvania Turnpike
Where the treetops meet the stars
There is a warm wind
Blowin' down the lost highway
And he don't know where he's goin'
It don't matter anyway
Cause the dreams pass through his mind
Like the years he'll never find
There is an old man
Night shift at the Stop-N-Go
He reads his dirty magazines
And mops the bathroom floor
He's lived a hard life
He lost a digit in the war
He keeps one hand on the shotgun
And both feet on the floor
And the old dreams fill his head
When he lays down in his bed
(Sometimes that's all you got left)
There is a pretty girl
Walking a yellow dog
Right down Dekalb Avenue
Where the MARTA meets the fog
There is a wild wind
Blowin' down the old railway
And I wonder she's goin'
She walks by every day
Yeah I wonder where she's goin'...
Burada yer alan videolar YouTube üzerinden anlık olarak alınmaktadır. YouTube üzerinden kaldırıldığında buradan da otomatik olarak kaldırılacaktır. Özel olarak kaldırılmasını istediğiniz içerik varsa bize
[email protected]
adresinden ulaşabilirsiniz.
Videoları Göster
Diğer Şarkıları
Eggshells
For Shari
Hawksong
Lately
Lonesome, I Know You Too Well
My Ship (2 choices)
Same Old Thing
The Gulf of Mexico
We Run",pop,Unknown,sarkisozleri.bbs.tr,https://www.sarkisozleri.bbs.tr/sarki/93972/yellow-dog-song,2025-10-25T20:35:02.636878
Shawn Mullins,Unknown,"Şarkı Sözleri
Sanatçılar
Shawn Mullins
Shawn Mullins
Tweet
Eggshells
For Shari
Hawksong
Lately
Lonesome, I Know You Too Well
My Ship (2 choices)
Same Old Thing
The Gulf of Mexico
We Run
Yellow Dog Song",pop,Unknown,sarkisozleri.bbs.tr,https://www.sarkisozleri.bbs.tr/sanatci/2950/shawn-mullins,2025-10-25T20:35:03.363968
A Hymn To The CatsPayne's Gray,Unknown,"Şarkı Sözleri
Sanatçılar
Payne's Gray
A Hymn To The Cats
A Hymn To The Cats
Payne's Gray
Şarkı Sözleri
İzle ve Dinle
Smallest of all your sisters,
Resembling tiger's eye.
You the friend of mankind
Can you read my troubled mind?
True companion in depression
You are there and asking why
Through the power of your felings
Without drugs, you do the healing
Pull your master out of trouble
Is for you a feat not hard
Less to give you when you double
in return much of reward
Busy warrior during night
Changing paws to fearsome weapon
Jumping then on moonshine heights
Where you fight the terrors threat-on.
From nightmare and from Mandrake dreams
Recovering your restless mind
Beacause your soothing presence seems
To show effects on your kind
So the rule says that no man
Nevermore shall kill a cat
But for those SEE,
Its human anyway to feel like that.
Burada yer alan videolar YouTube üzerinden anlık olarak alınmaktadır. YouTube üzerinden kaldırıldığında buradan da otomatik olarak kaldırılacaktır. Özel olarak kaldırılmasını istediğiniz içerik varsa bize
[email protected]
adresinden ulaşabilirsiniz.
Videoları Göster",pop,Unknown,sarkisozleri.bbs.tr,https://www.sarkisozleri.bbs.tr/sarki/42162/a-hymn-to-the-cats,2025-10-25T20:35:30.906418
16 Horsepower,Unknown,"Şarkı Sözleri
Sanatçılar
16 Horsepower
16 Horsepower
Tweet
Ditch Digger (U.S.)
Flutter
Harm's Way
My Narrow Mind
Praying Arm Lane
Sac Of Religion
Sinnerman
Strong Man
The Partisan",pop,Unknown,sarkisozleri.bbs.tr,https://www.sarkisozleri.bbs.tr/sanatci/4166/16-horsepower,2025-10-25T20:35:42.335771
25 Ta Life,Unknown,"Şarkı Sözleri
Sanatçılar
25 Ta Life
25 Ta Life
Tweet
Bullet For Every Enemy
Over The Years
Refocus
Short Fuse
Smakin' You Up
Strenght Through Unity",pop,Unknown,sarkisozleri.bbs.tr,https://www.sarkisozleri.bbs.tr/sanatci/7853/25-ta-life,2025-10-25T20:35:46.322471
2Gether,Unknown,"Şarkı Sözleri
Sanatçılar
2Gether
2Gether
Tweet
Rub One Out
Rub One Out (Karaoke Version)
Sister
The Hardest Part of Breakin Up...Is Getting Back Your Stuff
U&U&Me",pop,Unknown,sarkisozleri.bbs.tr,https://www.sarkisozleri.bbs.tr/sanatci/4876/2gether,2025-10-25T20:35:47.130643
